From Station Name,Usertype,Latitude,Longitude,Number of Records,,
University Ave & 57th St,Subscriber,41.791478,-87.599861,"17,140",,
Ellis Ave & 55th St,Subscriber,41.79430062,-87.60144977,"10,164",,
Kimbark Ave & 53rd St,Subscriber,41.799568,-87.594747,"11,944",,
State St & 33rd St,Subscriber,41.834734,-87.625813,"16,648",,
Fort Dearborn Dr & 31st St,Customer,41.838556,-87.608218,"11,344",,
MLK Jr Dr & 29th St,Subscriber,41.842052,-87.617,"20,620",,
Burnham Harbor,Subscriber,41.856268,-87.613348,"18,618",,
Burnham Harbor,Customer,41.856268,-87.613348,"26,830",,"154,740"
Calumet Ave & 18th St,Subscriber,41.857611,-87.619407,"12,514",,"10,028"
Michigan Ave & 18th St,Subscriber,41.857813,-87.62455,"16,298",,
Wabash Ave & 16th St,Subscriber,41.860384,-87.625813,"16,840",,
Michigan Ave & 14th St,Subscriber,41.864059,-87.623727,"15,546",,
Halsted St & Maxwell St,Subscriber,41.864883,-87.647071,"13,044",,
Field Museum,Customer,41.865312,-87.617867,"21,272",,
Adler Planetarium,Subscriber,41.866095,-87.607267,"11,372",,
Adler Planetarium,Customer,41.866095,-87.607267,"35,858",,
Clinton St & Roosevelt Rd,Subscriber,41.86711778,-87.64108796,"12,692",,
Shedd Aquarium,Subscriber,41.86722596,-87.61535539,"13,114",,
Shedd Aquarium,Customer,41.86722596,-87.61535539,"50,484",,
Wabash Ave & Roosevelt Rd,Subscriber,41.867227,-87.625961,"37,288",,
Indiana Ave & Roosevelt Rd,Subscriber,41.867888,-87.623041,"31,600",,
Indiana Ave & Roosevelt Rd,Customer,41.867888,-87.623041,"19,010",,
Wood St & Taylor St,Subscriber,41.869154,-87.671045,"13,112",,
Loomis St & Taylor St (*),Subscriber,41.869417,-87.660996,"19,198",,
May St & Taylor St,Subscriber,41.8694821,-87.6554864,"18,922",,
Canal St & Taylor St,Subscriber,41.870257,-87.639474,"12,308",,
Wolcott Ave & Polk St,Subscriber,41.871262,-87.673688,"18,138",,
Hermitage Ave & Polk St,Subscriber,41.871514,-87.669886,"12,108",,
Morgan St & Polk St,Subscriber,41.871737,-87.65103,"29,528",,
Halsted St & Polk St,Subscriber,41.87184,-87.64664,"19,616",,
Federal St & Polk St,Subscriber,41.87207763,-87.62954377,"23,154",,
Loomis St & Lexington St,Subscriber,41.872187,-87.661501,"23,792",,
Wells St & Polk St,Subscriber,41.872596,-87.633502,"16,384",,
Michigan Ave & 8th St,Customer,41.872773,-87.623981,"12,962",,
State St & Harrison St,Subscriber,41.874053,-87.627716,"10,952",,
Racine Ave & Congress Pkwy,Subscriber,41.87464,-87.65703,"12,462",,
900 W Harrison St,Subscriber,41.8747145,-87.649913,"11,754",,
Financial Pl & Congress Pkwy,Subscriber,41.87500913,-87.63310582,"24,516",,
Clinton St & Tilden St,Subscriber,41.875885,-87.640795,"15,514",,
Clark St & Congress Pkwy,Subscriber,41.87593267,-87.63058454,"21,146",,
Michigan Ave & Congress Pkwy,Subscriber,41.876243,-87.624426,"10,520",,
State St & Van Buren St,Subscriber,41.877181,-87.627844,"22,444",,
Canal St & Jackson Blvd,Subscriber,41.877245,-87.639366,"14,044",,
Franklin St & Jackson Blvd,Subscriber,41.87770796,-87.63532114,"35,052",,
Aberdeen St & Jackson Blvd,Subscriber,41.87772613,-87.65478743,"18,486",,
Peoria St & Jackson Blvd,Subscriber,41.877749,-87.649633,"28,684",,
Michigan Ave & Jackson Blvd,Subscriber,41.87785,-87.62408,"20,878",,
Michigan Ave & Jackson Blvd,Customer,41.87785,-87.62408,"15,792",,
LaSalle St & Jackson Blvd,Subscriber,41.87817,-87.631985,"37,538",,
Desplaines St & Jackson Blvd,Subscriber,41.878287,-87.643909,"17,908",,
Franklin St & Quincy St,Subscriber,41.878724,-87.634793,"24,532",,
Buckingham Fountain,Customer,41.8787265,-87.619907,"24,136",,
Canal St & Adams St,Subscriber,41.879255,-87.639904,"97,856",,
LaSalle St & Adams St,Subscriber,41.87934437,-87.63198522,"24,332",,
Dearborn St & Adams St,Subscriber,41.87935636,-87.62979104,"23,968",,
Wabash Ave & Adams St,Subscriber,41.87947235,-87.62568861,"19,130",,
Franklin St & Monroe St,Subscriber,41.880317,-87.635185,"64,522",,
Aberdeen St & Monroe St,Subscriber,41.880419,-87.655519,"10,039",,
Jefferson St & Monroe St,Subscriber,41.880422,-87.642746,"18,406",,
Canal St & Monroe St (*),Subscriber,41.880884,-87.639525,"32,514",,
Lake Shore Dr & Monroe St,Subscriber,41.880958,-87.616743,"22,494",,
